task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	81/20ace7	101812	LOAD_SUMSTATS (1)	COMPLETED	0	2026-06-30 18:22:46.889	17.1s	17s	108.0%	989.2 MB	3.3 GB	152 MB	88.3 MB
2	44/0faaff	102539	EXTRACT_LEADS (1)	COMPLETED	0	2026-06-30 18:23:04.037	19.4s	19.4s	108.7%	1.1 GB	3.4 GB	146.3 MB	295.7 KB
4	16/5a435f	103277	DEFINE_LOCI (CHR2:55513738)	COMPLETED	0	2026-06-30 18:23:23.514	7.2s	7.2s	104.7%	939.8 MB	3.2 GB	142.4 MB	56 KB
3	19/aa0cf5	103308	DEFINE_LOCI (CHR1:167562605)	COMPLETED	0	2026-06-30 18:23:23.536	7.2s	7.1s	104.4%	939 MB	3.2 GB	142.4 MB	45.4 KB
6	46/39ecbf	103282	DEFINE_LOCI (CHR20:42758834)	COMPLETED	0	2026-06-30 18:23:23.522	7.5s	7.4s	103.2%	939.4 MB	3.2 GB	142.4 MB	52.4 KB
5	c4/86b68b	103339	DEFINE_LOCI (CHR7:134368632)	COMPLETED	0	2026-06-30 18:23:23.550	7.5s	7.4s	105.5%	938.1 MB	3.2 GB	142.4 MB	54.1 KB
7	54/93d0df	104999	CALCULATE_LD (CHR2:55513738)	COMPLETED	0	2026-06-30 18:23:30.768	568ms	518ms	191.3%	11.9 MB	16.7 GB	78.7 MB	1.4 MB
8	6b/e29076	105143	CALCULATE_LD (CHR1:167562605)	COMPLETED	0	2026-06-30 18:23:31.049	542ms	490ms	212.7%	11.7 MB	16.7 GB	78.7 MB	881.9 KB
9	34/b5a453	105276	CALCULATE_LD (CHR20:42758834)	COMPLETED	0	2026-06-30 18:23:31.346	521ms	463ms	223.0%	11.8 MB	16.7 GB	78.7 MB	1.2 MB
10	af/fc52a6	105406	CALCULATE_LD (CHR7:134368632)	COMPLETED	0	2026-06-30 18:23:31.599	564ms	514ms	214.3%	11.7 MB	16.7 GB	78.7 MB	1.3 MB
11	22/bbf44b	105535	RUN_SUSIE (CHR2:55513738)	COMPLETED	0	2026-06-30 18:23:31.878	5.7s	5.7s	165.6%	548 MB	2.7 GB	79.9 MB	438.7 KB
12	44/0e098c	106046	RUN_SUSIE (CHR1:167562605)	COMPLETED	0	2026-06-30 18:23:37.592	5.6s	5.5s	169.6%	537.1 MB	2.7 GB	79.4 MB	311 KB
13	25/fb0b59	106536	RUN_SUSIE (CHR20:42758834)	COMPLETED	0	2026-06-30 18:23:43.170	5.6s	5.6s	170.0%	543 MB	2.7 GB	79.5 MB	354.3 KB
14	79/a5167a	107024	RUN_SUSIE (CHR7:134368632)	COMPLETED	0	2026-06-30 18:23:48.786	5.6s	5.5s	168.4%	544.8 MB	2.7 GB	79.6 MB	362.3 KB
15	ec/2dfe89	107508	SUMMARIZE_RESULTS	COMPLETED	0	2026-06-30 18:23:54.380	605ms	561ms	210.2%	15.4 MB	67 MB	13.6 MB	3.6 KB
